persons,norps,facs,orgs,gpes,products,events,arts,laws,langs,dates,times,percents,moneys,ords,cards,quants,location,label_fake
2,0,0,7,5,0,0,0,0,0,6,0,1,1,1,6,0,3,0
2,3,0,5,5,0,0,0,0,0,19,0,3,0,7,14,0,0,0
4,0,0,8,1,0,0,0,0,0,16,0,8,3,4,21,2,0,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,2,6,0,0,0,0,0,7,0,0,1,0,6,0,0,0
0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,2,0,0,0
0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0
0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
