persons,norps,facs,orgs,gpes,products,events,arts,laws,langs,dates,times,percents,moneys,ords,cards,quants,location,label_fake
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
7,2,0,11,2,0,0,1,0,0,6,0,0,0,0,15,1,0,0
10,0,0,4,1,0,0,1,0,0,12,0,0,0,1,2,0,0,0
15,4,0,11,14,2,0,0,0,0,9,0,0,0,2,3,0,2,0
12,5,0,20,6,0,0,2,0,0,11,2,0,0,2,6,0,0,0
21,3,1,15,31,0,0,0,0,0,14,0,0,0,4,17,0,2,0
11,4,0,37,9,0,0,0,0,0,28,2,0,0,1,18,0,2,0
13,2,3,24,22,0,0,3,0,0,18,0,0,4,9,16,0,0,0
8,4,0,18,28,0,0,1,0,0,8,0,0,0,3,11,0,0,0
11,0,0,13,14,0,1,0,0,0,17,0,0,1,1,12,0,0,0
10,3,0,27,8,0,0,1,0,0,9,0,1,0,2,8,1,0,0
20,13,0,40,18,2,0,3,1,0,15,0,5,0,3,17,4,2,0
8,3,0,9,3,0,0,0,0,0,1,1,0,0,0,3,3,0,0
5,13,2,10,11,0,1,1,0,0,4,0,0,0,2,4,1,3,0
12,13,0,11,18,0,0,1,0,0,2,0,0,0,0,5,0,2,0
0,0,0,3,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0
9,3,0,23,16,0,0,0,0,0,18,0,3,0,2,11,2,2,0
9,3,1,4,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,0,0,3,5,0,0,1,0,0,1,0,0,0,1,0,0,0,0
4,2,0,4,1,0,0,0,0,0,5,0,0,0,0,6,0,1,0
8,3,0,12,1,0,0,0,0,0,3,0,0,0,0,8,0,0,0
6,1,0,15,0,0,0,0,0,0,7,0,0,0,2,1,0,0,0
3,3,0,14,3,0,0,0,0,0,5,0,0,0,0,10,0,0,1
7,6,4,34,29,0,0,0,1,0,20,0,0,1,3,16,0,1,1
2,3,0,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,1,0,8,11,0,0,0,0,0,1,0,0,0,0,0,0,0,0
9,17,0,21,33,1,1,1,0,0,25,2,1,0,3,25,0,3,1
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6,3,0,16,4,2,0,1,0,0,4,0,0,0,0,15,0,0,0
